NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
2264,Protected,,4+6,,
2265,Protected,,4+6,,
2266,Protected,,4+6,,
2267,Protected,,4+6,,
2268,Protected,,4+6,,
2269,Protected,,4+6,,
2270,Protected,,4+6,,
2271,Protected,,4+6,,
2272,Protected,,4+6,,
2273,Protected,,4+6,,
2274,Protected,,4+6,,
2275,Protected,,4+6,,
2276,Protected,,4+6,,
2277,Protected,,4+6,,
2278,Protected,,4+6,,
2279,Protected,,4+6,,
2280,Protected,,4+6,,
2281,Protected,,4+6,,
2282,Protected,,4+6,,
2283,Protected,,4+6,,
2284,Protected,,4+6,,
2285,Protected,,4+6,,
2286,Protected,,4+6,,
2287,Protected,,4+6,,
2288,Protected,,4+6,,
2289,Protected,,4+6,,
2290,Protected,,4+6,,
2291,Protected,,4+6,,
2292,Protected,,4+6,,
2293,Protected,,4+6,,
2294,Protected,,4+6,,
2295,Protected,,4+6,,
2296,Protected,,4+6,,
2297,Protected,,4+6,,
2298,Protected,,4+6,,
2299,Protected,,4+6,,
2399,Protected,,4+6,,
2499,Protected,,4+6,,
2500,Protected,,4+6,,
2501,Protected,,4+6,,
2502,Protected,,4+6,,
2503,Protected,,4+6,,
2504,Protected,,4+6,,
2505,Protected,,4+6,,
2506,Protected,,4+6,,
2507,Protected,,4+6,,
2508,Protected,,4+6,,
2509,Protected,,4+6,,
2510,Protected,,4+6,,
2511,Protected,,4+6,,
2512,Protected,,4+6,,
2513,Protected,,4+6,,
2514,Protected,,4+6,,
2515,Protected,,4+6,,
2516,Protected,,4+6,,
2517,Protected,,4+6,,
2518,Protected,,4+6,,
2519,Protected,,4+6,,
2520,Protected,,4+6,,
2521,Protected,,4+6,,
2522,Protected,,4+6,,
2523,Protected,,4+6,,
2524,Protected,,4+6,,
2525,Protected,,4+6,,
2526,Protected,,4+6,,
2527,Protected,,4+6,,
2528,Protected,,4+6,,
2529,Protected,,4+6,,
2530,Protected,,4+6,,
2531,Protected,,4+6,,
2532,Protected,,4+6,,
2533,Protected,,4+6,,
2534,Protected,,4+6,,
2535,Protected,,4+6,,
2536,Protected,,4+6,,
2537,Protected,,4+6,,
2538,Protected,,4+6,,
2539,Protected,,4+6,,
2540,Protected,,4+6,,
2541,Protected,,4+6,,
2542,Protected,,4+6,,
2543,Protected,,4+6,,
2544,Protected,,4+6,,
2545,Protected,,4+6,,
2546,Protected,,4+6,,
2547,Protected,,4+6,,
2548,Protected,,4+6,,
2549,Protected,,4+6,,
2550,Protected,,4+6,,
2551,Protected,,4+6,,
2552,Protected,,4+6,,
2553,Protected,,4+6,,
2554,Protected,,4+6,,
2555,Protected,,4+6,,
2556,Protected,,4+6,,
2557,Protected,,4+6,,
2558,Protected,,4+6,,
2559,Protected,,4+6,,
2560,Protected,,4+6,,
2561,Protected,,4+6,,
2562,Protected,,4+6,,
2563,Protected,,4+6,,
2564,Protected,,4+6,,
2565,Protected,,4+6,,
2566,Protected,,4+6,,
2567,Protected,,4+6,,
2568,Protected,,4+6,,
2569,Protected,,4+6,,
2570,Protected,,4+6,,
2571,Protected,,4+6,,
2572,Protected,,4+6,,
2573,Protected,,4+6,,
2574,Protected,,4+6,,
2575,Protected,,4+6,,
2576,Protected,,4+6,,
2577,Protected,,4+6,,
2578,Protected,,4+6,,
2579,Protected,,4+6,,
2580,Protected,,4+6,,
2581,Protected,,4+6,,
2582,Protected,,4+6,,
2583,Protected,,4+6,,
2584,Protected,,4+6,,
2585,Protected,,4+6,,
2586,Protected,,4+6,,
2587,Protected,,4+6,,
2588,Protected,,4+6,,
2589,Protected,,4+6,,
2590,Protected,,4+6,,
2591,Protected,,4+6,,
2592,Protected,,4+6,,
2593,Protected,,4+6,,
2594,Protected,,4+6,,
2595,Protected,,4+6,,
2596,Protected,,4+6,,
2597,Protected,,4+6,,
2598,Protected,,4+6,,
2599,Protected,,4+6,,
2600,Protected,,4+6,,
2601,Protected,,4+6,,
2602,Protected,,4+6,,
2603,Protected,,4+6,,
