NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3002 54,Free,,10 digit numbers,,
3002 55,Free,,10 digit numbers,,
3002 56,Free,,10 digit numbers,,
3002 57,Free,,10 digit numbers,,
3002 58,Free,,10 digit numbers,,
3002 59,Free,,10 digit numbers,,
3002 60,Free,,10 digit numbers,,
3002 61,Free,,10 digit numbers,,
3002 62,Free,,10 digit numbers,,
3002 63,Allocated,Virgin Media Limited,10 digit numbers,18/09/2007,
3002 64,Free,,10 digit numbers,,
3002 65,Free,,10 digit numbers,,
3002 66,Free,,10 digit numbers,,
3002 67,Free,,10 digit numbers,,
3002 68,Free,,10 digit numbers,,
3002 69,Free,,10 digit numbers,,
3002 70,Free,,10 digit numbers,,
3002 71,Free,,10 digit numbers,,
3002 72,Free,,10 digit numbers,,
3002 73,Free,,10 digit numbers,,
3002 74,Free,,10 digit numbers,,
3002 75,Free,,10 digit numbers,,
3002 76,Free,,10 digit numbers,,
3002 77,Free,,10 digit numbers,,
3002 78,Free,,10 digit numbers,,
3002 79,Free,,10 digit numbers,,
3002 80,Free,,10 digit numbers,,
3002 81,Free,,10 digit numbers,,
3002 82,Free,,10 digit numbers,,
3002 83,Free,,10 digit numbers,,
3002 84,Free,,10 digit numbers,,
3002 85,Free,,10 digit numbers,,
3002 86,Free,,10 digit numbers,,
3002 87,Free,,10 digit numbers,,
3002 88,Free,,10 digit numbers,,
3002 89,Free,,10 digit numbers,,
3002 90,Free,,10 digit numbers,,
3002 91,Free,,10 digit numbers,,
3002 92,Free,,10 digit numbers,,
3002 93,Free,,10 digit numbers,,
3002 94,Free,,10 digit numbers,,
3002 95,Free,,10 digit numbers,,
3002 96,Free,,10 digit numbers,,
3002 97,Free,,10 digit numbers,,
3002 98,Free,,10 digit numbers,,
3002 99,Free,,10 digit numbers,,
3003 00,Allocated,Virgin Media Limited,10 digit numbers,26/03/2007,
3003 01,Allocated,Solutios Limited,10 digit numbers,06/10/2008,
3003 02,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,12/07/2012,
3003 03,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,26/03/2007,
3003 04,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,28/05/2012,
3003 05,Free,,10 digit numbers,,
3003 06,Free,,10 digit numbers,,
3003 07,Free,,10 digit numbers,,
3003 08,Free,,10 digit numbers,,
3003 09,Free,,10 digit numbers,,
3003 10,Free,,10 digit numbers,,
3003 11,Allocated,Commi Holdings Limited,10 digit numbers,17/11/2016,
3003 12,Free,,10 digit numbers,,
3003 13,Allocated,Ccpro Solutions Limited,10 digit numbers,03/06/2009,
3003 14,Free,,10 digit numbers,,
3003 15,Free,,10 digit numbers,,
3003 16,Free,,10 digit numbers,,
3003 17,Free,,10 digit numbers,,
3003 18,Free,,10 digit numbers,,
3003 19,Free,,10 digit numbers,,
3003 20,Free,,10 digit numbers,,
3003 21,Allocated,Vodafone Ltd (C&W),10 digit numbers,18/06/2013,
3003 22,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,09/11/2022,
3003 23,Allocated,Invosys Limited,10 digit numbers,10/07/2012,
3003 24,Allocated,24 Seven Communications Limited,10 digit numbers,16/06/2009,
3003 25,Free,,10 digit numbers,,
3003 26,Free,,10 digit numbers,,
3003 27,Free,,10 digit numbers,,
3003 28,Free,,10 digit numbers,,
3003 29,Free,,10 digit numbers,,
3003 30,Allocated,GCI Network Solutions Limited,10 digit numbers,20/12/2023,
3003 31,Free,,10 digit numbers,,
3003 32,Allocated,TalkTalk Communications Limited,10 digit numbers,02/03/2010,
3003 33,Allocated,TalkTalk Communications Limited,10 digit numbers,26/03/2007,
3003 34,Protected,,10 digit numbers,,
3003 35,Protected,,10 digit numbers,,
3003 36,Free,,10 digit numbers,,
3003 37,Free,,10 digit numbers,,
3003 38,Free,,10 digit numbers,,
3003 39,Allocated,London Central Communications Ltd,10 digit numbers,12/08/2009,
3003 40,Free,,10 digit numbers,,
3003 41,Free,,10 digit numbers,,
3003 42,Free,,10 digit numbers,,
3003 43,Allocated,Vodafone Ltd (C&W),10 digit numbers,22/11/2024,
3003 44,Allocated,IM Software Ltd,10 digit numbers,28/05/2009,
3003 45,Allocated,TalkTalk Communications Limited,10 digit numbers,01/05/2014,
3003 46,Free,,10 digit numbers,,
3003 47,Free,,10 digit numbers,,
3003 48,Free,,10 digit numbers,,
3003 49,Free,,10 digit numbers,,
3003 50,Free,,10 digit numbers,,
3003 51,Free,,10 digit numbers,,
3003 52,Free,,10 digit numbers,,
3003 53,Free,,10 digit numbers,,
3003 54,Free,,10 digit numbers,,
3003 55,Free,,10 digit numbers,,
3003 56,Free,,10 digit numbers,,
3003 57,Free,,10 digit numbers,,
3003 58,Free,,10 digit numbers,,
