NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
5601 55,Allocated,GCI Network Solutions Limited,10 digit numbers,22/12/2023,
5601 56,Allocated,Connect Telecom UK Limited,10 digit numbers,17/01/2005,
5601 57,Allocated,BT,10 digit numbers,29/11/2006,
5601 58,Allocated,BT,10 digit numbers,29/11/2006,
5601 59,Allocated,BT,10 digit numbers,29/11/2006,
5601 60,Allocated,BT,10 digit numbers,29/11/2006,
5601 61,Allocated,BT,10 digit numbers,29/11/2006,
5601 62,Allocated,BT,10 digit numbers,29/11/2006,
5601 63,Allocated,BT,10 digit numbers,29/11/2006,
5601 64,Allocated,BT,10 digit numbers,29/11/2006,
5601 65,Allocated,BT,10 digit numbers,29/11/2006,
5601 66,Protected,,10 digit numbers,,
5601 67,Allocated,BT,10 digit numbers,29/11/2006,
5601 68,Allocated,BT,10 digit numbers,29/11/2006,
5601 69,Allocated,BT,10 digit numbers,29/11/2006,
5601 70,Allocated,BT,10 digit numbers,29/11/2006,
5601 71,Allocated,BT,10 digit numbers,29/11/2006,
5601 72,Allocated,BT,10 digit numbers,29/11/2006,
5601 73,Allocated,BT,10 digit numbers,29/11/2006,
5601 74,Allocated,BT,10 digit numbers,29/11/2006,
5601 75,Allocated,BT,10 digit numbers,29/11/2006,
5601 76,Allocated,BT,10 digit numbers,29/11/2006,
5601 77,Protected,,10 digit numbers,,
5601 78,Allocated,BT,10 digit numbers,29/11/2006,
5601 79,Allocated,BT,10 digit numbers,29/11/2006,
5601 80,Protected,,10 digit numbers,,
5601 81,Protected,,10 digit numbers,,
5601 82,Allocated,BT,10 digit numbers,29/11/2006,
5601 83,Protected,,10 digit numbers,,
5601 84,Protected,,10 digit numbers,,
5601 85,Allocated,BT,10 digit numbers,29/11/2006,
5601 86,Allocated,BT,10 digit numbers,29/11/2006,
5601 87,Allocated,BT,10 digit numbers,29/11/2006,
5601 88,Allocated,BT,10 digit numbers,29/11/2006,
5601 89,Allocated,BT,10 digit numbers,29/11/2006,
5601 90,Allocated,The Excell Group Limited,10 digit numbers,27/09/2006,
5601 91,Allocated,BT,10 digit numbers,29/11/2006,
5601 92,Allocated,BT,10 digit numbers,29/11/2006,
5601 93,Allocated,BT,10 digit numbers,29/11/2006,
5601 94,Allocated,BT,10 digit numbers,29/11/2006,
5601 95,Allocated,BT,10 digit numbers,29/11/2006,
5601 96,Allocated,BT,10 digit numbers,29/11/2006,
5601 97,Allocated,BT,10 digit numbers,29/11/2006,
5601 98,Allocated,BT,10 digit numbers,29/11/2006,
5601 99,Allocated,BT,10 digit numbers,29/11/2006,
5602 00,Allocated,TGL Services (UK) Ltd,10 digit numbers,10/02/2015,
5602 01,Protected,,10 digit numbers,,
5602 02,Quarantined,,10 digit numbers,,
5602 03,Allocated,(AQ) LIMITED,10 digit numbers,04/10/2012,
5602 04,Allocated,BT,10 digit numbers,04/10/2007,
5602 05,Allocated,BT,10 digit numbers,04/10/2007,
5602 06,Allocated,Voiceflex Limited,10 digit numbers,20/09/2007,
5602 07,Allocated,Served Up Limited,10 digit numbers,03/06/2008,
5602 08,Allocated,Served Up Limited,10 digit numbers,03/06/2008,
5602 09,Allocated,BT,10 digit numbers,04/10/2007,
5602 10,Allocated,Commi Holdings Limited,10 digit numbers,16/11/2016,
5602 11,Protected,,10 digit numbers,,
5602 12,Allocated,BT,10 digit numbers,29/11/2006,
5602 13,Allocated,BT,10 digit numbers,29/11/2006,
5602 14,Allocated,BT,10 digit numbers,29/11/2006,
5602 15,Allocated,BT,10 digit numbers,19/05/2006,
5602 16,Allocated,BT,10 digit numbers,19/05/2006,
5602 17,Allocated,BT,10 digit numbers,19/05/2006,
5602 18,Allocated,BT,10 digit numbers,19/05/2006,
5602 19,Allocated,BT,10 digit numbers,19/05/2006,
5602 20,Free,,10 digit numbers,,
5602 21,Free,,10 digit numbers,,
5602 22,Allocated,C2C Limited,10 digit numbers,15/02/2005,
5602 23,Allocated,BT,10 digit numbers,19/05/2006,
5602 24,Allocated,BT,10 digit numbers,19/05/2006,
5602 25,Allocated,BT,10 digit numbers,19/05/2006,
5602 26,Allocated,BT,10 digit numbers,19/05/2006,
5602 27,Allocated,BT,10 digit numbers,19/05/2006,
5602 28,Allocated,BT,10 digit numbers,19/05/2006,
5602 29,Allocated,BT,10 digit numbers,19/05/2006,
5602 30,Allocated,BT,10 digit numbers,19/05/2006,
5602 31,Allocated,BT,10 digit numbers,19/05/2006,
5602 32,Allocated,Caladan Communications Limited,10 digit numbers,15/04/2005,
5602 33,Allocated,Reality Network Services Limited,10 digit numbers,01/03/2005,
5602 34,Allocated,BT,10 digit numbers,19/05/2006,
5602 35,Allocated,BT,10 digit numbers,19/05/2006,
5602 36,Allocated,BT,10 digit numbers,19/05/2006,
5602 37,Allocated,BT,10 digit numbers,19/05/2006,
5602 38,Allocated,BT,10 digit numbers,19/05/2006,
5602 39,Allocated,BT,10 digit numbers,19/05/2006,
5602 40,Allocated,BT,10 digit numbers,19/05/2006,
5602 41,Allocated,BT,10 digit numbers,19/05/2006,
5602 42,Allocated,BT,10 digit numbers,19/05/2006,
5602 43,Allocated,BT,10 digit numbers,19/05/2006,
5602 44,Allocated,BT,10 digit numbers,19/05/2006,
5602 45,Allocated,BT,10 digit numbers,19/05/2006,
5602 46,Allocated,BT,10 digit numbers,19/05/2006,
5602 47,Allocated,BT,10 digit numbers,19/05/2006,
5602 48,Allocated,BT,10 digit numbers,19/05/2006,
5602 49,Allocated,BT,10 digit numbers,19/05/2006,
5602 50,Protected,,10 digit numbers,,
5602 51,Allocated,BT,10 digit numbers,19/05/2006,
5602 52,Allocated,BT,10 digit numbers,19/05/2006,
5602 53,Allocated,BT,10 digit numbers,19/05/2006,
5602 54,Allocated,BT,10 digit numbers,19/05/2006,
5602 55,Allocated,BT,10 digit numbers,19/05/2006,
5602 56,Allocated,BT,10 digit numbers,19/05/2006,
5602 57,Allocated,BT,10 digit numbers,19/05/2006,
5602 58,Allocated,BT,10 digit numbers,19/05/2006,
5602 59,Allocated,BT,10 digit numbers,19/05/2006,
5602 60,Allocated,BT,10 digit numbers,19/05/2006,
5602 61,Allocated,BT,10 digit numbers,19/05/2006,
5602 62,Allocated,BT,10 digit numbers,19/05/2006,
5602 63,Allocated,BT,10 digit numbers,19/05/2006,
5602 64,Allocated,BT,10 digit numbers,19/05/2006,
5602 65,Allocated,BT,10 digit numbers,19/05/2006,
5602 66,Allocated,BT,10 digit numbers,19/05/2006,
5602 67,Allocated,BT,10 digit numbers,19/05/2006,
5602 68,Allocated,BT,10 digit numbers,19/05/2006,
5602 69,Allocated,BT,10 digit numbers,19/05/2006,
5602 70,Allocated,BT,10 digit numbers,19/05/2006,
5602 71,Allocated,BT,10 digit numbers,19/05/2006,
5602 72,Allocated,BT,10 digit numbers,19/05/2006,
5602 73,Allocated,BT,10 digit numbers,19/05/2006,
5602 74,Allocated,BT,10 digit numbers,19/05/2006,
5602 75,Allocated,BT,10 digit numbers,19/05/2006,
5602 76,Allocated,BT,10 digit numbers,19/05/2006,
5602 77,Allocated,BT,10 digit numbers,19/05/2006,
5602 78,Allocated,BT,10 digit numbers,19/05/2006,
5602 79,Allocated,BT,10 digit numbers,19/05/2006,
5602 80,Allocated,BT,10 digit numbers,19/05/2006,
5602 81,Allocated,BT,10 digit numbers,19/05/2006,
5602 82,Allocated,BT,10 digit numbers,19/05/2006,
5602 83,Allocated,BT,10 digit numbers,19/05/2006,
5602 84,Allocated,BT,10 digit numbers,19/05/2006,
5602 85,Allocated,BT,10 digit numbers,19/05/2006,
5602 86,Allocated,BT,10 digit numbers,19/05/2006,
5602 87,Allocated,BT,10 digit numbers,19/05/2006,
5602 88,Allocated,Connect Telecom UK Limited,10 digit numbers,27/01/2006,
5602 89,Allocated,BT,10 digit numbers,19/05/2006,
5602 90,Allocated,BT,10 digit numbers,19/05/2006,
5602 91,Allocated,BT,10 digit numbers,19/05/2006,
5602 92,Allocated,BT,10 digit numbers,19/05/2006,
5602 93,Allocated,BT,10 digit numbers,19/05/2006,
5602 94,Allocated,BT,10 digit numbers,19/05/2006,
5602 95,Allocated,BT,10 digit numbers,19/05/2006,
5602 96,Allocated,BT,10 digit numbers,19/05/2006,
5602 97,Allocated,BT,10 digit numbers,19/05/2006,
5602 98,Allocated,BT,10 digit numbers,19/05/2006,
5602 99,Allocated,BT,10 digit numbers,19/05/2006,
5603 00,Allocated,Magrathea Telecommunications Limited,10 digit numbers,08/11/2007,
5603 01,Allocated,Magrathea Telecommunications Limited,10 digit numbers,08/11/2007,
5603 02,Allocated,Magrathea Telecommunications Limited,10 digit numbers,08/11/2007,
5603 03,Allocated,Orange Business Holdings UK Limited,10 digit numbers,27/12/2012,
5603 04,Protected,,10 digit numbers,,
5603 05,Allocated,Magrathea Telecommunications Limited,10 digit numbers,15/01/2009,
5603 06,Allocated,Magrathea Telecommunications Limited,10 digit numbers,15/01/2009,
5603 07,Allocated,Magrathea Telecommunications Limited,10 digit numbers,15/01/2009,
5603 08,Allocated,IPV6 Limited,10 digit numbers,22/01/2009,
5603 09,Allocated,Zen Internet Limited,10 digit numbers,24/11/2008,
5603 10,Allocated,BT,10 digit numbers,04/10/2007,
5603 11,Allocated,BT,10 digit numbers,24/04/2008,
5603 12,Allocated,BT,10 digit numbers,24/04/2008,
5603 13,Allocated,BT,10 digit numbers,04/10/2007,
5603 14,Allocated,BT,10 digit numbers,24/04/2008,
5603 15,Allocated,BT,10 digit numbers,24/04/2008,
5603 16,Allocated,BT,10 digit numbers,04/10/2007,
5603 17,Allocated,BT,10 digit numbers,04/10/2007,
5603 18,Allocated,BT,10 digit numbers,04/10/2007,
5603 19,Allocated,BT,10 digit numbers,04/10/2007,
5603 20,Allocated,BT,10 digit numbers,04/10/2007,
5603 21,Allocated,BT,10 digit numbers,04/10/2007,
5603 22,Allocated,BT,10 digit numbers,04/10/2007,
5603 23,Allocated,BT,10 digit numbers,04/10/2007,
5603 24,Allocated,BT,10 digit numbers,04/10/2007,
5603 25,Allocated,BT,10 digit numbers,04/10/2007,
5603 26,Allocated,BT,10 digit numbers,04/10/2007,
5603 27,Allocated,BT,10 digit numbers,04/10/2007,
5603 28,Allocated,BT,10 digit numbers,04/10/2007,
5603 29,Allocated,BT,10 digit numbers,04/10/2007,
5603 30,Allocated,BT,10 digit numbers,04/10/2007,
5603 31,Allocated,BT,10 digit numbers,04/10/2007,
5603 32,Allocated,BT,10 digit numbers,04/10/2007,
5603 33,Allocated,BT,10 digit numbers,04/10/2007,
5603 34,Allocated,BT,10 digit numbers,04/10/2007,
5603 35,Allocated,BT,10 digit numbers,04/10/2007,
5603 36,Allocated,Colt Technology Services,10 digit numbers,10/03/2008,
5603 37,Allocated,Colt Technology Services,10 digit numbers,10/03/2008,
5603 38,Allocated,Colt Technology Services,10 digit numbers,10/03/2008,
5603 39,Allocated,Colt Technology Services,10 digit numbers,10/03/2008,
5603 40,Allocated,Colt Technology Services,10 digit numbers,10/03/2008,
5603 41,Allocated,BT,10 digit numbers,24/04/2008,
5603 42,Allocated,BT,10 digit numbers,24/04/2008,
5603 43,Allocated,BT,10 digit numbers,24/04/2008,
5603 44,Allocated,BT,10 digit numbers,24/04/2008,
5603 45,Allocated,BT,10 digit numbers,24/04/2008,
5603 46,Allocated,BT,10 digit numbers,24/04/2008,
5603 47,Allocated,Magrathea Telecommunications Limited,10 digit numbers,23/08/2010,
5603 48,Allocated,BT,10 digit numbers,10/02/2011,
5603 49,Allocated,BT,10 digit numbers,10/02/2011,
5603 50,Allocated,Atlas Interactive Group Limited,10 digit numbers,16/07/2010,
5603 51,Allocated,BT,10 digit numbers,10/02/2011,
5603 52,Allocated,BT,10 digit numbers,10/02/2011,
5603 53,Protected,,10 digit numbers,,
5603 54,Allocated,BT,10 digit numbers,10/02/2011,
5603 55,Protected,,10 digit numbers,,
5603 56,Allocated,Digital Mail Limited,10 digit numbers,20/05/2008,
5603 57,Allocated,BT,10 digit numbers,24/08/2011,
5603 58,Allocated,BT,10 digit numbers,20/09/2011,
5603 59,Free,,10 digit numbers,,
5603 60,Allocated,Net-Work Internet Ltd,10 digit numbers,15/10/2007,
5603 61,Allocated,Voicetec Systems Ltd,10 digit numbers,13/09/2011,
5603 62,Protected,,10 digit numbers,,
5603 63,Allocated,X-on Health Limited,10 digit numbers,19/11/2009,
5603 64,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,28/05/2013,
5603 65,Allocated,Exa Networks Limited,10 digit numbers,03/07/2008,
5603 66,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,14/08/2008,
5603 67,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,17/08/2010,
5603 68,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,05/03/2009,
5603 69,Allocated,Andrews & Arnold (Numbers) Ltd,10 digit numbers,20/05/2010,
5603 70,Allocated,Magrathea Telecommunications Limited,10 digit numbers,11/10/2011,
5603 71,Protected,,10 digit numbers,,
5603 72,Allocated,Magrathea Telecommunications Limited,10 digit numbers,10/01/2013,
5603 73,Allocated,Cloudcall Limited,10 digit numbers,16/06/2011,
5603 74,Protected,,10 digit numbers,,
5603 75,Allocated,Colt Technology Services,10 digit numbers,04/05/2016,
5603 76,Free,,10 digit numbers,,
5603 77,Protected,,10 digit numbers,,
5603 78,Free,,10 digit numbers,,
5603 79,Free,,10 digit numbers,,
5603 80,Protected,,10 digit numbers,,
5603 81,Free,,10 digit numbers,,
5603 82,Free,,10 digit numbers,,
5603 83,Protected,,10 digit numbers,,
5603 84,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,16/04/2014,
5603 85,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,26/01/2016,
5603 86,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,03/02/2017,
5603 87,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,24/07/2018,
5603 88,Allocated,Business Broadcast Communications Limited,10 digit numbers,16/10/2009,
5603 89,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,10/11/2009,
5603 90,Protected,,10 digit numbers,,
5603 91,Free,,10 digit numbers,,
5603 92,Free,,10 digit numbers,,
5603 93,Allocated,Spacetel UK Ltd,10 digit numbers,29/09/2011,
5603 94,Allocated,Orange Business Holdings UK Limited,10 digit numbers,29/08/2013,
5603 95,Free,,10 digit numbers,,
5603 96,Free,,10 digit numbers,,
5603 97,Free,,10 digit numbers,,
5603 98,Free,,10 digit numbers,,
5603 99,Protected,,10 digit numbers,,
5604 00,Free,,10 digit numbers,,
5604 01,Free,,10 digit numbers,,
5604 02,Free,,10 digit numbers,,
5604 03,Free,,10 digit numbers,,
5604 04,Free,,10 digit numbers,,
5604 05,Free,,10 digit numbers,,
5604 06,Free,,10 digit numbers,,
5604 07,Free,,10 digit numbers,,
5604 08,Free,,10 digit numbers,,
5604 09,Free,,10 digit numbers,,
5604 10,Free,,10 digit numbers,,
5604 11,Allocated,Kalnet4U Ltd,10 digit numbers,30/04/2020,
5604 12,Free,,10 digit numbers,,
5604 13,Free,,10 digit numbers,,
5604 14,Free,,10 digit numbers,,
5604 15,Free,,10 digit numbers,,
5604 16,Free,,10 digit numbers,,
5604 17,Free,,10 digit numbers,,
5604 18,Free,,10 digit numbers,,
5604 19,Free,,10 digit numbers,,
5604 20,Free,,10 digit numbers,,
5604 21,Allocated,Magrathea Telecommunications Limited,10 digit numbers,14/09/2023,
5604 22,Allocated,Magrathea Telecommunications Limited,10 digit numbers,08/07/2024,
5604 23,Free,,10 digit numbers,,
5604 24,Allocated,THE COMMUNICATION GATEWAY LTD,10 digit numbers,11/01/2024,
5604 25,Free,,10 digit numbers,,
5604 26,Free,,10 digit numbers,,
5604 27,Free,,10 digit numbers,,
5604 28,Free,,10 digit numbers,,
5604 29,Free,,10 digit numbers,,
5604 30,Free,,10 digit numbers,,
5604 31,Free,,10 digit numbers,,
5604 32,Free,,10 digit numbers,,
5604 33,Free,,10 digit numbers,,
5604 34,Free,,10 digit numbers,,
5604 35,Free,,10 digit numbers,,
5604 36,Free,,10 digit numbers,,
5604 37,Free,,10 digit numbers,,
5604 38,Free,,10 digit numbers,,
5604 39,Free,,10 digit numbers,,
5604 40,Free,,10 digit numbers,,
5604 41,Free,,10 digit numbers,,
5604 42,Free,,10 digit numbers,,
5604 43,Free,,10 digit numbers,,
5604 44,Allocated,Inet Telecoms Ltd (Voipfone),10 digit numbers,11/03/2021,
5604 45,Free,,10 digit numbers,,
5604 46,Free,,10 digit numbers,,
5604 47,Free,,10 digit numbers,,
5604 48,Free,,10 digit numbers,,
5604 49,Free,,10 digit numbers,,
5604 50,Protected,,10 digit numbers,,
5604 51,Protected,,10 digit numbers,,
5604 52,Protected,,10 digit numbers,,
5604 53,Protected,,10 digit numbers,,
5604 54,Protected,,10 digit numbers,,
5604 55,Protected,,10 digit numbers,,
5604 56,Protected,,10 digit numbers,,
5604 57,Protected,,10 digit numbers,,
5604 58,Protected,,10 digit numbers,,
5604 59,Protected,,10 digit numbers,,
5604 60,Protected,,10 digit numbers,,
5604 61,Protected,,10 digit numbers,,
5604 62,Protected,,10 digit numbers,,
5604 63,Protected,,10 digit numbers,,
5604 64,Protected,,10 digit numbers,,
5604 65,Protected,,10 digit numbers,,
5604 66,Protected,,10 digit numbers,,
5604 67,Protected,,10 digit numbers,,
5604 68,Protected,,10 digit numbers,,
5604 69,Protected,,10 digit numbers,,
5604 70,Protected,,10 digit numbers,,
5604 71,Protected,,10 digit numbers,,
5604 72,Protected,,10 digit numbers,,
5604 73,Protected,,10 digit numbers,,
5604 74,Protected,,10 digit numbers,,
5604 75,Protected,,10 digit numbers,,
5604 76,Protected,,10 digit numbers,,
5604 77,Protected,,10 digit numbers,,
5604 78,Protected,,10 digit numbers,,
5604 79,Protected,,10 digit numbers,,
5604 80,Protected,,10 digit numbers,,
5604 81,Protected,,10 digit numbers,,
5604 82,Protected,,10 digit numbers,,
5604 83,Protected,,10 digit numbers,,
5604 84,Protected,,10 digit numbers,,
5604 85,Protected,,10 digit numbers,,
5604 86,Protected,,10 digit numbers,,
5604 87,Protected,,10 digit numbers,,
5604 88,Protected,,10 digit numbers,,
5604 89,Protected,,10 digit numbers,,
5604 90,Protected,,10 digit numbers,,
5604 91,Protected,,10 digit numbers,,
5604 92,Protected,,10 digit numbers,,
5604 93,Protected,,10 digit numbers,,
5604 94,Protected,,10 digit numbers,,
5604 95,Protected,,10 digit numbers,,
5604 96,Protected,,10 digit numbers,,
5604 97,Protected,,10 digit numbers,,
5604 98,Protected,,10 digit numbers,,
5604 99,Protected,,10 digit numbers,,
5605,Protected,,10 digit numbers,,
5606,Protected,,10 digit numbers,,
5607,Protected,,10 digit numbers,,
5608,Protected,,10 digit numbers,,
5609,Protected,,10 digit numbers,,
5610,Protected,,10 digit numbers,,
5611,Protected,,10 digit numbers,,
5612,Protected,,10 digit numbers,,
5613,Protected,,10 digit numbers,,
5614,Protected,,10 digit numbers,,
5615,Protected,,10 digit numbers,,
5616,Protected,,10 digit numbers,,
5617,Protected,,10 digit numbers,,
5618,Protected,,10 digit numbers,,
5619,Protected,,10 digit numbers,,
5620,Protected,,10 digit numbers,,
5621,Protected,,10 digit numbers,,
5622,Protected,,10 digit numbers,,
5623,Protected,,10 digit numbers,,
5624,Protected,,10 digit numbers,,
5625,Protected,,10 digit numbers,,
5626,Protected,,10 digit numbers,,
5627,Protected,,10 digit numbers,,
5628,Protected,,10 digit numbers,,
5629,Protected,,10 digit numbers,,
5630,Protected,,10 digit numbers,,
5631,Protected,,10 digit numbers,,
5632,Protected,,10 digit numbers,,
5633,Protected,,10 digit numbers,,
5634,Protected,,10 digit numbers,,
5635,Protected,,10 digit numbers,,
5636,Protected,,10 digit numbers,,
5637,Protected,,10 digit numbers,,
5638,Protected,,10 digit numbers,,
5639,Protected,,10 digit numbers,,
5640,Protected,,10 digit numbers,,
5641,Protected,,10 digit numbers,,
5642,Protected,,10 digit numbers,,
5643,Protected,,10 digit numbers,,
5644,Protected,,10 digit numbers,,
5645,Protected,,10 digit numbers,,
5646,Protected,,10 digit numbers,,
5647,Protected,,10 digit numbers,,
5648,Protected,,10 digit numbers,,
5649,Protected,,10 digit numbers,,
5650,Protected,,10 digit numbers,,
5651,Protected,,10 digit numbers,,
5652,Protected,,10 digit numbers,,
5653,Protected,,10 digit numbers,,
5654,Protected,,10 digit numbers,,
5655,Protected,,10 digit numbers,,
5656,Protected,,10 digit numbers,,
5657,Protected,,10 digit numbers,,
5658,Protected,,10 digit numbers,,
5659,Protected,,10 digit numbers,,
5660,Protected,,10 digit numbers,,
5661,Protected,,10 digit numbers,,
5662,Protected,,10 digit numbers,,
5663,Protected,,10 digit numbers,,
5664,Protected,,10 digit numbers,,
5665,Protected,,10 digit numbers,,
5666,Protected,,10 digit numbers,,
5667,Protected,,10 digit numbers,,
5668,Protected,,10 digit numbers,,
5669,Protected,,10 digit numbers,,
5670,Protected,,10 digit numbers,,
5671,Protected,,10 digit numbers,,
5672,Protected,,10 digit numbers,,
5673,Protected,,10 digit numbers,,
5674,Protected,,10 digit numbers,,
5675,Protected,,10 digit numbers,,
5676,Protected,,10 digit numbers,,
5677,Protected,,10 digit numbers,,
5678,Protected,,10 digit numbers,,
5679,Protected,,10 digit numbers,,
5680,Protected,,10 digit numbers,,
5681,Protected,,10 digit numbers,,
5682,Protected,,10 digit numbers,,
5683,Protected,,10 digit numbers,,
5684,Protected,,10 digit numbers,,
5685,Protected,,10 digit numbers,,
5686,Protected,,10 digit numbers,,
5687,Protected,,10 digit numbers,,
5688,Protected,,10 digit numbers,,
5689,Protected,,10 digit numbers,,
5690,Protected,,10 digit numbers,,
5691,Protected,,10 digit numbers,,
5692,Protected,,10 digit numbers,,
5693,Protected,,10 digit numbers,,
5694,Protected,,10 digit numbers,,
5695,Protected,,10 digit numbers,,
5696,Protected,,10 digit numbers,,
5697,Protected,,10 digit numbers,,
5698,Protected,,10 digit numbers,,
5699,Protected,,10 digit numbers,,
